kernel,regs,shmem,block,grid_blocks,mean_ms,std_ms,N,rows,cols,iters,size_kind,FLOPs,BYTES,shared_bytes,working_set_bytes,arithmetic_intensity,mem_pattern,has_branch_divergence,atomic_ops_count,gpu_device_name,gpu_architecture,gpu_compute_capability,gpu_sms,gpu_max_threads_per_sm,gpu_max_blocks_per_sm,gpu_regs_per_sm,gpu_shared_mem_per_sm,gpu_l2_bytes,gpu_warp_size,peak_theoretical_gflops,peak_theoretical_bandwidth_gbps,calibrated_mem_bandwidth_gbps,calibrated_compute_gflops,achieved_bandwidth_gbps,achieved_compute_gflops,T1_model_ms,speedup_model
conv2d_3x3,30,0,256,4096,0.028518,0.000289,,1024,1024,0,rows_cols,18874368,8388608,0,4194304,2.250000,stencil_3x3,0,0,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,294.15,661.84,0.496083,17.40
atomic_hotspot,7,0,256,4096,2.602973,0.012997,,1048576,1,100,N,0,838860800,0,4,0.000000,atomics_hotspot,0,104857600,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,322.27,0.00,49.608297,19.06
random_access,10,0,256,4096,0.018284,0.000051,,1048576,1,0,N,0,8388608,0,8388608,0.000000,random_gather,0,0,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,458.80,0.00,0.496083,27.13
matmul_tiled,37,8192,1024,256,0.186533,0.005140,,512,512,0,rows_cols,268435456,3145728,8192,3145728,85.333333,matmul_tiled,0,0,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,16.86,1439.08,0.755013,4.05
naive_transpose,16,0,256,16384,0.085860,0.001576,,2048,2048,0,rows_cols,0,33554432,0,33554432,0.000000,transpose_naive,0,0,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,390.80,0.00,1.984332,23.11
saxpy,12,0,256,4096,0.029405,0.006903,,1048576,1,0,N,2097152,12582912,0,12582912,0.166667,coalesced,0,0,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,427.92,71.32,0.744124,25.31
dot_product,15,1024,256,4096,0.019194,0.000128,,1048576,1,0,N,2097152,8396804,1024,8388608,0.249756,shared_reduction,0,0,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,437.47,109.26,0.496568,25.87
shared_bank_conflict,206,4096,1024,1,0.001496,0.000104,,,,0,N,0,0,4096,4096,0.000000,smem_bank_conflict,0,0,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,0.00,0.00,,
shared_transpose,32,4224,1024,4096,0.072943,0.002009,,2048,2048,0,rows_cols,0,33554432,4224,33554432,0.000000,transpose_tiled,0,0,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,460.01,0.00,1.984332,27.20
reduce_sum,10,1024,256,4096,0.015555,0.000154,,1048576,1,0,N,1048575,4202500,1024,4194304,0.249512,shared_reduction,0,0,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,270.17,67.41,0.248526,15.98
strided_copy_8,8,0,256,4096,0.021448,0.000078,,1048576,1,0,N,0,1048576,0,1048576,0.000000,stride_8,0,0,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,48.89,0.00,0.062010,2.89
matmul_naive,40,0,256,1024,0.314393,0.005160,,512,512,0,rows_cols,268435456,3145728,0,3145728,85.333333,matmul_naive,0,0,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,10.01,853.82,0.755013,2.40
histogram,10,1024,256,4096,0.067441,0.002450,,1048576,1,0,N,0,12582912,1024,4195328,0.000000,atomics_global_256,0,1048576,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,186.58,0.00,0.744124,11.03
conv2d_7x7,40,0,256,4096,0.116985,0.003009,,1024,1024,0,rows_cols,102760448,8388608,0,4194304,12.250000,stencil_7x7,0,0,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,71.71,878.41,0.496083,4.24
vector_add,12,0,256,4096,0.025821,0.001111,,1048576,1,0,N,1048576,12582912,0,12582912,0.083333,coalesced,0,0,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,487.31,40.61,0.744124,28.82
vector_add_divergent,15,0,256,4096,0.095916,0.002050,,1048576,1,0,N,1048576,12582912,0,12582912,0.083333,divergent,1,0,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,131.19,10.93,0.744124,7.76
