kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,trials,mean_ms,std_ms,rows,cols,iters,block,grid_blocks,N,size_kind,FLOPs,BYTES,arithmetic_intensity,working_set_bytes,shared_bytes,mem_pattern,conv_padding
atomic_hotspot,--rows 1048576 --cols 1 --block 256 --iters 100 --warmup 10 --reps 50,7,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,10,50,10,2.600540,0.011517,1048576,1,100,256,4096,1048576,N,0,838860800,0.000000,4,0,atomics_hotspot,
conv2d_3x3,--rows 1024 --cols 1024 --warmup 10 --reps 50,30,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,64,64,1,10,50,10,0.028522,0.000316,1024,1024,0,256,4096,1048576,rows_cols,18874368,8388608,2.250000,4194304,0,stencil_3x3,same
conv2d_7x7,--rows 1024 --cols 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,64,64,1,10,50,10,0.118932,0.004163,1024,1024,0,256,4096,1048576,rows_cols,102760448,8388608,12.250000,4194304,0,stencil_7x7,same
dot_product,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.019169,0.000139,1048576,1,0,256,4096,1048576,N,2097152,8396800,0.249756,8388608,1024,shared_reduction,
histogram,--rows 1048576 --cols 1 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,10,50,10,0.066617,0.000071,1048576,1,0,256,4096,1048576,N,0,8388608,0.000000,4195328,0,atomics_256bins,
matmul_naive,--rows 512 --cols 512 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,32,32,1,10,50,10,0.313157,0.006706,512,512,0,256,1024,262144,rows_cols,268435456,3145728,85.333333,3145728,0,mm_naive,
matmul_tiled,--rows 512 --cols 512 --warmup 10 --reps 50,37,8192,NVIDIA GeForce RTX 2080 Ti,32,32,1,16,16,1,10,50,10,0.181324,0.002911,512,512,0,1024,256,262144,rows_cols,268435456,3145728,85.333333,3145728,8192,mm_tiled,
naive_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,16,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,128,128,1,20,100,10,0.085420,0.001756,2048,2048,0,256,16384,4194304,rows_cols,0,33554432,0.000000,33554432,0,transpose_naive,
random_access,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,10,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.018290,0.000065,1048576,1,0,256,4096,1048576,N,0,8388608,0.000000,8388608,0,random_gather_scatter,
reduce_sum,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.015493,0.000015,1048576,1,0,256,4096,1048576,N,1048575,4202496,0.249512,4194304,1024,shared_reduction,
saxpy,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.025491,0.000041,1048576,1,0,256,4096,1048576,N,2097152,12582912,0.166667,12582912,0,coalesced,
shared_bank_conflict,--warmup 20 --reps 100,206,4096,NVIDIA GeForce RTX 2080 Ti,1024,1,1,0,0,0,20,100,10,0.001443,0.000061,0,0,0,1024,1,0,N,0,0,0.000000,4096,4096,smem_bank_conflict,
shared_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,32,4224,NVIDIA GeForce RTX 2080 Ti,32,32,1,64,64,1,20,100,10,0.072702,0.001562,2048,2048,0,1024,4096,4194304,rows_cols,0,33554432,0.000000,33554432,4224,transpose_tiled,
strided_copy_8,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.021444,0.000070,1048576,1,0,256,4096,1048576,N,0,8388608,0.000000,8388608,0,strided_8,
vector_add,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.026187,0.001549,1048576,1,0,256,4096,1048576,N,1048576,12582912,0.083333,12582912,0,coalesced,
vector_add_divergent,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,15,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.096799,0.002251,1048576,1,0,256,4096,1048576,N,1048576,12582912,0.083333,12582912,0,divergent,
